epoch,step,test_loss,test_pearson,train_loss,train_pearson,val_loss,val_pearson
0,822,,,,0.7303638458251953,0.5696780681610107,0.8490832448005676
0,822,,,0.7627487182617188,,,
1,823,0.4692828953266144,0.7975703477859497,,,,
