epoch,step,test_loss,test_pearson,train_loss,train_pearson,val_loss,val_pearson
0,822,,,,0.7294239401817322,0.5834434628486633,0.8451728820800781
0,822,,,0.7649195790290833,,,
1,823,0.46983784437179565,0.7974644303321838,,,,
